curated_smiles,bird - wild_oral_LD50
COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12,4.64911668292362
CCN(CC)C(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1,5.254521223222311
COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC,3.784394739924268
Cc1ccc(C(=O)NC2C(=O)NC(C(C)C)C(=O)N3CCCC3C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC2C)c2c1OC1C(C)C(=O)C(N)C(C(=O)NC3C(=O)NC(C(C)C)C(=O)N4CCCC4C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC3C)C1N2,6.100882435070409
C1CN1c1nc(N2CC2)nc(N2CC2)n1,4.852252525836708
O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,4.151126948981419
C(#CCN1CCCC1)CN1CCCC1,3.283992834556944
S=P(N1CC1)(N1CC1)N1CC1,4.527239903212036
C1CN1P1(N2CC2)=NP(N2CC2)(N2CC2)=NP(N2CC2)(N2CC2)=N1,3.197122481813825
CCOP(=S)(OCC)Oc1cc(C)c(SC)c(C)c1,4.882464904087381
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,3.84246924173769
COP(=S)(OC)Oc1ccc(S(=O)(=O)N(C)C)cc1,5.257075636252004
Nc1ccncc1N,3.162890850951916
COP(=S)(OC)Oc1cc(C)c(SC)c(C)c1,4.465920924158688
COP(=S)(OC)Oc1ccc(SC)c(C)c1,5.330624469015076
CS(=O)(=O)OCCCCOS(C)(=O)=O,3.641738675787512
CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,5.340436659588812
CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,5.309212559862607
Cn1c(=O)c2c(ncn2C)n(C)c1=O,2.7885487247911405
c1ccc2c(c1)Oc1ccccc1[As]2O[As]1c2ccccc2Oc2ccccc21,4.320694003596896
CNC(=O)CSP(=S)(OC)OC,4.540790035488054
COc1ccc2c(c1)N(CC(C)CN(C)C)c1ccccc1S2,3.5165102541582165
CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1,3.912640784122407
COP(=O)(OC)OC=C(Cl)Cl,4.265163861874748
O=C(O)CF,4.517580044617988
CNC(=O)Oc1cccc2ccccc12,3.5554939090574385
CNC(=O)Oc1cccc(C(C)C)c1,4.78096053489966
CCC(C)C(C)(COC(N)=O)COC(N)=O,3.366011817361286
COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,4.1017677321915
COS(C)(=O)=O,3.2921850972528865
O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,4.320170961232898
CS(C)=O,2.8928511747107213
Cc1ccc(S(N)(=O)=O)cc1,3.358495765785933
CCC(=O)c1ccc(N)cc1,3.049896805945096
CCCCO,1.472012979647237
O=C1c2ccccc2C(=O)c2c1ccc(O)c2O,2.880911232461657
CCc1ccc(C(c2ccc(CC)cc2)C(Cl)Cl)cc1,1.5332691705137278
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,3.479577229492289
CCC1(C(C)C)C(=O)NC(=O)NC1=O,3.916940612011678
C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,3.475690554424716
NNC(N)=S,4.000662866763339
CC(C)(O)C(C)(O)c1ccc(Cl)cc1,3.826665883440113
C[n+]1c2cc(N)ccc2cc2ccc(N)cc21,3.6010677864049816
COP(=S)(OC)SCn1nnc2ccccc2c1=O,4.5720949431799545
COc1cc(C=O)cc(OC)c1OC,2.6673909791186303
Cc1cc(OC(=O)N(C)C)n(-c2ccccc2)n1,3.7986010716833385
Cc1c(N)cccc1Cl,2.776317974384242
Oc1cccc(O)c1O,3.2256917060596377
NC(=O)c1ccccc1N,2.13403040478292
Nc1ccccc1[N+](=O)[O-],2.265214171839548
CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,4.529341774305475
O=[N+]([O-])c1cc(Cl)c(Cl)cc1Cl,3.3549646535980417
COc1ccccc1N,2.4651395975993906
COc1cc(C=CC(=O)O)cc(OC)c1OC,2.751700406514117
CN(C)c1ccc(C(=O)c2ccc(N(C)C)cc2)cc1,3.428717783203832
Cc1c(N=C=O)cccc1N=C=O,3.240945922373594
O=C(O)c1ccc2ccccc2n1,3.238475164849424
CCOC(=O)c1ccc(N)cc1,3.4698009842591384
Cc1ccccc1F,3.0419095826769333
Nc1ccccc1N,2.910150788132332
Cc1ccc(N)cc1C,4.335253672658837
Cc1cc(Cl)ccc1N,3.2760050570026458
Nc1ccc(Cl)c(Cl)c1,2.834817601318355
OCC(O)CCl,3.668771114235652
O=C(O)c1ccc(Cl)c([N+](=O)[O-])c1,3.4293538594884816
CCOP(=S)(OCC)Oc1ccc(Cl)cc1Cl,4.35240030009486
O=S(=O)(O)c1ccccc1,3.3240848166359007
O=C(O)c1ccccn1,2.839876856681486
Nc1cccc(C(=O)O)c1,2.262096548098328
O=[N+]([O-])c1cccc([N+](=O)[O-])c1,3.6023390909367774
CC(=O)c1ccc(N)cc1,3.0070158208355044
Nc1ccc([N+](=O)[O-])cc1,3.2652141718395478
CN(C)c1ccc(N(C)C)cc1,3.840762320402388
C=Cc1ccncc1,3.021767972682406
OCc1ccccc1,3.0339863652396053
COc1ccc(OC)c(N)c1,3.1852049003691465
CC=Cc1ccc(OC)cc1,2.671175773088195
Nc1ccc(Cl)cc1,3.105762172762184
Cc1ccc(N)cc1,3.4067672031688176
CCOP(=O)(OCC)OP(=O)(OCC)OCC,5.348737593596935
CCOP(=O)(OCC)Oc1cc(C)[nH]n1,3.767512064159891
Cc1cccc(N)c1,2.646201127586287
Nc1cccc(N)c1,2.284266113530357
Cc1ccncc1,2.343772488653684
Sc1ccccc1,3.6618954679894378
Cc1cccnc1,1.9690849396153571
Oc1cccnc1,2.1031238202354987
Clc1ccccn1,2.055175664309544
OCC#CCO,3.059891444426158
C#CC(O)(C=CCl)CC,3.5369220059698794
