curated_smiles,cat_oral_LDLo
CCOC(=O)C1(c2ccccc2)CCN(C)CC1,3.3932908447175687
C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)C=CC(C)C(C)C,4.89944730832877
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,3.151665204895132
CN(C)CCCN1c2ccccc2CCc2ccccc21,3.4478012412596364
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,3.5036177476925223
CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,3.332017734261392
CC12C(=O)OC(=O)C1(C)C1CCC2O1,2.801341736246032
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,3.2690251397870687
CNC1C(OC2C(OC3C(O)C(O)C(NC(=N)N)C(O)C3NC(=N)N)OC(C)C2(O)C=O)OC(CO)C(O)C1O,2.463579467456969
Cn1c(=O)c2c(ncn2C)n(C)c1=O,3.2882358074095444
Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,3.364173755142341
Cc1cc(=O)n(-c2ccccc2)n1C,2.177778829229501
CC(CN1c2ccccc2Sc2ccccc21)N(C)C,3.056032338824956
NC(=O)NC(=O)Cc1ccccc1,1.9498557694182228
CCO,0.8852575349275253
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,3.354638492883989
COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,6.504544801801847
NC(=O)c1ccccc1O,2.9610665524343465
O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,5.2232609482248415
CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,3.3009930790640416
ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl,3.873112416149089
CCC(Br)(CC)C(=O)NC(N)=O,2.830858014513242
CCOC(=O)CC(CC(=O)OCC)(OC(C)=O)C(=O)OCC,1.5729370947111805
ClC=C(Cl)Cl,1.3503650456053582
O=C(O)CO,2.1821349246595285
Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,2.842320746771094
Oc1c(I)cc(I)c2cccnc12,3.121617833784
O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,2.962092663069793
Cc1ccc(C(C)C)c(O)c1,2.7787906400188587
COc1ccccc1O,1.9178169835545864
N#Cc1ccccc1C#N,3.8066343882036655
c1ccc2ccccc2c1,2.1077999378060115
Cc1ccccc1N,2.853925234511037
Nc1ccccc1N,2.6360624204273804
Nc1nccs1,2.92145236147493
CC(=O)Nc1cc([As](=O)(O)O)ccc1O,3.263386701721592
CN(C)C(=S)SC(=S)N(C)C,3.318849781209405
O=[N+]([O-])c1ccccc1,2.09029685899038
O=[N+]([O-])c1cccc([N+](=O)[O-])c1,3.7942246171756895
O=[N+]([O-])c1ccc([N+](=O)[O-])cc1,3.7631903834357217
Nc1ccc(Nc2ccccc2)cc1,3.265388639373507
CC(=O)CC(=O)Nc1ccccc1,2.549501065768156
S=C(Nc1ccccc1)Nc1ccccc1,2.501211459339303
CC(=O)Nc1ccccc1,2.7329274531305523
Nc1cccc(N)c1,2.5568811743797557
CCCC#N,3.538492044581431
CCCCOCCOCCSC#N,3.2995521601916
CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)Cc1ccccc1Cl)Cc1ccccc1Cl,5.526319888810546
O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,2.212571106228047
Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],2.0891065966770914
NC(=O)Nc1ccc([As](=O)(O)O)cc1,3.017168617662414
O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])C1,3.346581799087201
CC1OC(C)OC(C)O1,1.602582803959459
CC1OC(OC2C=C3CCC4C(CCC5(C)C(c6ccc(=O)oc6)CCC45O)C3(C)CC2)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O,5.12460390850556
ClC(Cl)=C(Cl)Cl,1.6176135849380748
Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,2.369997026666776
Oc1ccc2ccccc2c1,3.1588839354948406
CN(C)C(=S)SSC(=S)N(C)C,3.019286108214428
CNC(=S)S,3.0302069389501782
CCC1(CC)C(=O)NC(=O)NC1=O,2.8673378283620727
CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)Cc1ccccc1OC)Cc1ccccc1OC,3.723240523942585
CC1OC(C[N+](C)(C)C)CC1O,4.396109638454544
OC(O)C(Cl)(Cl)Cl,2.616483390984273
CC[N+](CC)(CCCNC1=CC(=O)C(NCCC[N+](CC)(CC)Cc2ccccc2)=CC1=O)Cc1ccccc1,4.696435820737559
CCC1CN2CCc3cc(OC)c(OC)cc3C2CC1CC1NCCc2cc(OC)c(OC)cc21,4.443267415730718
CC(=O)Nc1ccc(F)cc1,2.787194006612567
