curated_smiles,dog_intravenous_LD50
COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12,5.666845449884051
CCOC(=O)C1(c2ccccc2)CCN(C)CC1,3.5607819320113325
CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,3.406302242093111
CCN(CC)CCOC(=O)C(c1ccccc1)c1ccccc1,3.949285428770208
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,4.02649649297286
COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC,6.08542473558825
CC(=O)Oc1ccccc1C(=O)O,2.422508850647414
CCN(CC)CCOC(=O)c1ccc(N)cc1,3.5741507397220547
CC(C)NCC(O)c1ccc(O)c(O)c1,3.625849326847497
NCCc1cnc[nH]1,4.200803612384869
NCCc1ccc(O)c(O)c1,3.287577809078705
CN(CCCl)CCCl,5.193280470962248
NC1(C(=O)O)CCCC1,2.634003419159039
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,3.2345797067490043
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,4.319766314290146
COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,4.298586785970947
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,3.5536318396100253
NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,2.917438548469933
O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],4.077434847082946
CC(C)OP(=O)(F)OC(C)C,4.729870527969998
CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,4.385107054508274
CN(C)N,2.932683227400453
C=CCN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,3.4141108629972545
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,3.447628262368439
C[N+]1(CCCl)CC1,5.382388106679066
CC(O)CO,0.4663827734022674
CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12,3.504139974898073
COc1cc2c3cc1Oc1cc(ccc1O)CC1c4c(cc(OC)c(O)c4Oc4ccc(cc4)CC3N(C)CC2)CC[N+]1(C)C,6.08617681887062
CCN(CC)CCSC(=O)N(c1ccccc1)c1ccccc1,4.215480258494235
Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,3.281388384825891
CNCCCN1c2ccccc2CCc2ccccc21,4.027574648571108
NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,3.07590446848314
NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O,2.470893914727089
C[N+](C)(C)CCCCCC[N+](C)(C)C,3.762112422646352
CNN,3.462746221458755
Nc1nc2cc(Cl)ccc2o1,3.158627916262413
O=C(O)CF,6.114177140244449
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,3.5353938644066703
O=C(O)CI,3.61617899780572
CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC,5.805184707222413
