curated_smiles,dog_intravenous_LDLo
C=O,2.6323994402488577
CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,3.4439914937053246
C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)C=CC(C)C(C)C,4.89944730832877
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,3.674543950175469
CN(C)CCCN1c2ccccc2CCc2ccccc21,3.794588727484293
CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,4.6018971003532805
Cc1ccc(C(=O)NC2C(=O)NC(C(C)C)C(=O)N3CCCC3C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC2C)c2c1OC1C(C)C(=O)C(N)C(C(=O)NC3C(=O)NC(C(C)C)C(=O)N4CCCC4C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC3C)C1N2,6.896762452414484
C1CN1c1nc(N2CC2)nc(N2CC2)n1,5.708074431242738
O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,4.026509673928425
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,3.762491004026009
S=P(N1CC1)(N1CC1)N1CC1,5.396162626500304
CC[N+](C)(CC)CCOC(=O)C1c2ccccc2Oc2ccccc21,4.1703165728664935
CN(C)CCCSc1ccccc1NC(=O)C=Cc1ccccc1,4.629016925448723
C1CCc2nnnn2CC1,3.5383663388387974
CC(CCC(C)OS(C)(=O)=O)OS(C)(=O)=O,5.438320794186449
CS(=O)(=O)OCCCCOS(C)(=O)=O,4.48838500436463
ClC(Cl)(Cl)Cl,3.0901112641106283
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,3.636051711253525
O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,3.333288709594157
NC(N)=O,1.3014351481386666
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,3.447628262368439
CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12,3.504139974898073
Cn1c(=O)c2c(ncn2C)n(C)c1=O,4.686175816081581
CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,3.5728170216568462
CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3cccs3)C2SC1,1.8200327899480504
CC(COc1ccccc1)N(CCCl)Cc1ccccc1,4.482634941809764
NCCCCCC(=O)O,1.785412612954771
CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1,3.7549718039910154
CCOc1ccc(NC(C)=O)cc1,2.8384107017623306
CC=C(C)C(=O)OC1CCC2(C)C3CCC4C5(O)CC(O)C6(O)C(CN7CC(C)CCC7C6(C)O)C5(O)CC42OC13O,3.707674406010719
COP(=O)(OC)OC=C(Cl)Cl,5.001922427100166
O=CC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,2.358311833803624
CCO,1.4592888026552442
CCC(c1ccc(O)cc1)C(C#N)c1ccc(O)cc1,3.427044449249008
COS(C)(=O)=O,3.699498731999741
O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O,3.9246655845946794
C[N+](C)(C)CCO,4.318785166926229
CC(C)O,1.768545609610186
ClC(Cl)Cl,3.2018630352698376
ClC(Cl)(Cl)C(Cl)(Cl)Cl,2.8623882822971054
CCc1oc2ccccc2c1C(=O)c1cc(I)c(O)c(I)c1,4.71440353323648
