curated_smiles,guinea pig_intraperitoneal_LD50
CN(C)CCCN1c2ccccc2CCc2ccccc21,3.518382315545344
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,3.5151448724129013
O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,3.817912269946037
NCCc1cnc[nH]1,4.364943343064804
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,2.859401017034066
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,2.933549711085023
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,3.398295802144963
NNC(=O)c1ccncc1,2.8471358673137988
CCN(CC)N=O,2.7661450487868207
COP(=S)(OC)Oc1ccc(SC)c(C)c1,2.9532061274876407
N=C(N)SCCN,2.6790067274551665
CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,4.385107054508274
CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,3.413504526493262
CCN(CC)CCOC(=O)C(O)(c1ccccc1)c1ccccc1,3.5151105097905035
CC[Sn](CC)(CC)OS(=O)(=O)O[Sn](CC)(CC)CC,5.228620188167437
C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,4.3113829635314325
COc1ccc(CC(N)C(=O)NC2C(CO)OC(n3cnc4c(N(C)C)ncnc43)C2O)cc1,3.2156163796637687
NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(O)C(O)C1O,2.54384669710791
CN(C)CCN(Cc1ccc(Cl)cc1)c1ccccn1,3.428689611396621
OCCc1ccccc1,2.7859239135700085
CC(CN1c2ccccc2Sc2ccccc21)N(C)C,3.649709330708396
O=C(O)CF,5.314836590790867
CN(C)N=O,3.732997993680877
NCCc1ccccc1,2.782411704001056
Cc1ccc(CC(C)N)cc1,3.872846514494805
CCO,1.1301452685324542
COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,5.902484810473885
CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,3.671098756314033
CO,0.9547578637861656
CC(C)O,1.3706056009381484
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,3.165337640809861
CCCO,1.6967786319648848
CCCCCO,2.156347200859924
CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,5.628360543862393
CI,3.444531565079476
CNC,2.9066202661246274
CCI,2.685174062416737
NC=O,1.556698011145641
CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,3.624764427154795
CCOP(=O)(OCC)OCC,2.357353493960548
CCCCSP(=O)(SCCCC)SCCCC,3.321559769563249
CC(C)CO,1.7904099809163685
CCC(C)O,1.8417885688948048
NNC(N)=S,3.579493017372826
C[N+]1(C)C2CCC1CC(OC(=O)C(O)c1ccccc1)C2,3.383789941661212
C=C(C)C(=O)OC,1.7240460233493782
CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1,2.6591885990550685
CCC1CC2CC3c4[nH]c5ccc(OC)cc5c4CCN(C2)C13,3.5781652213425126
O=C1OC(=O)c2ccccc21,3.1706049071538014
