curated_smiles,guinea pig_oral_LD50
C=O,2.062524132292297
CCC1(c2ccccc2)NC(=O)N(C)C1=O,2.759182594963885
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,3.373513954511488
O=C(O)c1c(Cl)ccc(Cl)c1Cl,2.2674183618323758
CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,3.091147603737524
CC(=O)Oc1ccccc1C(=O)O,2.224247498308576
O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,3.3565852824096067
CC(C)NCC(O)c1ccc(O)c(O)c1,2.893455567024529
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,2.420068323203803
CN(CCCl)CCCl,4.114099224914622
NC1(C(=O)O)CCCC1,2.964996638200463
Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,1.8062423993289465
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,3.5536318396100253
NNC(=O)c1ccncc1,2.730630298242362
CCN(CC)N=O,2.6112430888010776
COP(=S)(OC)Oc1ccc(SC)c(C)c1,3.029594473351095
O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],2.1948204458008003
NCCCNCCCN,2.7063902563450526
ClC(Cl)(Cl)Cl,1.426598793695473
CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,4.561198313563954
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,2.25584046954192
CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,3.7962045686085615
O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,2.81040996431382
OCC(O)CO,1.074929633968785
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,3.251991800488289
CC(O)CO,0.6177200527849772
Cn1c(=O)c2c(ncn2C)n(C)c1=O,2.9265079713919517
Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,2.4051323628212478
c1ccc2c(c1)Oc1ccccc1[As]2O[As]1c2ccccc2Oc2ccccc21,4.320694003596896
C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,2.8104718362113075
COc1ccc(CC(N)C(=O)NC2C(CO)OC(n3cnc4c(N(C)C)ncnc43)C2O)cc1,2.8953470260141176
Oc1c(Cl)cc(Cl)c(Cl)c1Cl,2.967347630404686
CC(COc1ccccc1)N(CCCl)Cc1ccccc1,2.7836649374737443
OCCc1ccccc1,1.6821201926140517
CNC(=O)CSP(=S)(OC)OC,2.8162659266796464
CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12,2.374811866858366
ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,4.133667763403057
CC(CN1c2ccccc2Sc2ccccc21)N(C)C,2.6477923735131066
CCOc1ccc(NC(C)=O)cc1,1.9815424431966495
O=C(O)CF,5.318644836731199
CNC(=O)Oc1cccc2ccccc12,2.905741927391601
COc1ccc(CN(CCN(C)C)c2ncccn2)cc1,2.7640942489727616
Nc1ccc(S(N)(=O)=O)cc1,1.740511507295916
NC(=O)NC(=O)Cc1ccccc1,2.305417179950384
NCCc1ccccc1,2.782411704001056
CCO,0.9183339937291116
NC(=O)c1ccccc1O,1.8991117083612323
CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,3.6363366500548207
ClC(Cl)Cl,2.163110446277821
