curated_smiles,guinea pig_subcutaneous_LD50
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,2.595362704127844
CCN(CC)C(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1,4.305673745669693
CN(C)CCCN1c2ccccc2CCc2ccccc21,3.169047640306807
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,2.880368457294621
COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC,3.9714813832814126
O=C(Cc1cccs1)NC1C(=O)N2C(C(=O)O)=C(C[n+]3ccccc3)CSC12,2.879256487123919
CCN(CC)CCOC(=O)c1ccc(N)cc1,2.7638968799504164
CC(C)NCC(O)c1ccc(O)c(O)c1,5.81966935286361
NCCc1cnc[nH]1,4.9489916393910685
CN(CCCl)CCCl,4.892250475298266
OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,2.9740998849442297
COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,3.995340571624076
NNC(=O)c1ccncc1,2.8471358673137988
CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,4.464288300555898
CCCCCCCCCCCCCCCC[N+](C)(C)C,3.4541616424339283
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,2.954712740465545
CCCC(C)(COC(N)=O)COC(N)=O,2.7591766254033687
CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3cccs3)C2SC1,3.556791355173469
CC(CN1c2ccccc2Sc2ccccc21)N(C)C,2.737969003862194
CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1,4.351198643702708
O=C(O)CF,5.494388381956054
CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,3.671098756314033
Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,2.4833222468140503
CC1(C)OC2CC3C4CC(F)C5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1,2.1545535626844265
CCN(CC)CC(=O)Nc1c(C)cccc1C,3.29067073930262
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,3.509540452869732
CCOP(=O)(C#N)N(C)C,6.130679457965083
CCOP(=O)(OCC)SCCN(CC)CC,6.527222155723884
C=CC(N)=O,2.62129238777276
C[N+]1(C)C2CCC1CC(OC(=O)C(O)c1ccccc1)C2,3.5879099243171364
C=C(C)C(=O)OC,1.2256989972119166
CCOC(=O)c1ccccc1C(=O)OCC,1.8697009736738777
CC(OP(C)(=O)F)C(C)(C)C,6.880277536485224
CCOC(=O)CC#N,2.0062491718493884
OCCCl,3.0308101398842626
CCC#N,3.483315356715701
C=CC#N,2.610856631983483
CC(C)OP(C)(=O)F,6.669298280832415
CCOP(=O)(OCC)OP(=O)(OCC)OCC,5.617582905889515
N#CCC(N)=O,1.8621003881629257
C=CCC#N,2.706090333933475
N#CCC#N,3.497738996902168
N#CCCCCC#N,3.335032424763399
CCCCOCCOCCSC#N,2.6549398181781743
CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,2.552536526705853
CN(C)P(=O)(F)N(C)C,4.886843093939806
CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,2.865780202072836
