curated_smiles,human_oral_TDLo
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,4.598060220071197
CCN(CC)C(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1,8.431797360885552
CC(C)NCC(O)c1ccc(O)c(O)c1,5.926879322511478
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,6.94294706848414
CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12,1.8715135161935397
NC1(C(=O)O)CCCC1,3.3329734234950577
CC(C)(S)C(N)C(=O)O,1.4366198405511026
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,6.723780470674377
COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,2.628257240643971
O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,3.473777011102075
OCC(O)CO,1.80950312903494
ON=Cc1cc[n+](CCC[n+]2ccc(C=NO)cc2)cc1,3.803661923236224
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,4.110662647691819
CCN(CC)CCOC(=O)C(O)(c1ccccc1)c1ccccc1,7.368982474112264
CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,4.1388582396323805
CCCC(C)(COC(N)=O)COC(N)=O,2.8918021906779594
O=C1C(CCS(=O)c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1,4.144510865023819
CC(C)O,2.430540703201837
CC(Cl)(Cl)Cl,2.2990973044787726
CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3(F)C(O)CC21C,5.924856668850426
CCC(Br)(CC)C(=O)NC(=O)NC(C)=O,4.600714699065054
ClC(Cl)C(Cl)Cl,3.747800090864368
CCCCOC(=O)c1ccccc1C(=O)OCCCC,3.298460069461452
Clc1ccc(Cl)cc1,2.6902078974046564
ClCCCl,2.364015917607892
CC(C)OP(C)(=O)F,7.845389539888095
CCOP(=O)(OCC)OP(=O)(OCC)OCC,5.972722466478937
O=C(O)C=CC(=O)O,2.732289007780928
C#CC(O)(C=CCl)CC,3.1307875186825704
ON=Cc1cc[n+](COC[n+]2ccc(C=NO)cc2)cc1,3.8687905800182025
Oc1ccc(O)cc1,2.811385729562562
CCC(C)C1(CC)C(=O)NC(=O)NC1=O,3.247664406717576
CCC1(CC)C(=O)NCC(C)C1=O,3.8480730052921257
