curated_smiles,rabbit_oral_LDLo
CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,2.294229173371993
O=CC(O)C(O)C(O)C(O)CO,0.9546187349827776
CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,2.720197905644274
C=CCC1(CC=C)C(=O)NC(=O)NC1=O,3.61954618051568
COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,3.3815849073025825
Cc1cc(=O)[nH]c(=S)[nH]1,1.7549076647431832
CC12C(=O)OC(=O)C1(C)C1CCC2O1,3.991673434416323
CCCC[Sn](CCCC)(CCCC)O[Sn](CCCC)(CCCC)CCCC,4.076361502833028
CCCC[Sn](CCCC)(CCCC)OC(C)=O,3.9408935895911936
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,2.7441029760905646
NC(N)=O,0.7785564028583292
CC[Sn](CC)(CC)OS(=O)(=O)O[Sn](CC)(CC)CC,4.705741442887099
CC1=CC(=O)c2ccccc2C1=O,2.8742624343831413
COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,3.2519467205227537
Cc1ccccc1OCC(O)CO,1.8988658229253343
OCCc1ccccc1,1.785923913570009
Cc1c(C(C)C2NCC(C)CC2O)ccc2c1CC1C2CC=C2CC(O)CCC21C,4.093860851885884
CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1,2.4539418083270337
NC(N)=S,1.0373551901354343
CN(C)N=O,3.869718560837284
COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,3.902484810473885
O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,5.746139693505179
ClC(Cl)Cl,2.377954294325519
CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,2.9999630834000603
CC(O)C(=O)O,1.2556487306467587
CI,3.3070037011631555
C#N,3.829721781101161
CCI,2.715908679392906
ClCCl,1.6503228635350358
C[N+](=O)[O-],1.910553261555124
C[Pb](C)(C)C,4.046852702004188
FC(F)(Cl)C(F)(Cl)Cl,1.0422627244780618
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,3.1116004441976948
CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,2.606281021460782
CCC1(C(C)C)C(=O)NC(=O)NC1=O,3.121060594667603
C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,3.118580905025967
ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl,2.812552089767884
CC(CO)(CO)[N+](=O)[O-],2.1307164224119086
CCC(Br)(CC)C(=O)NC(N)=O,2.5967748084798736
COS(=O)(=O)OC,3.447616211520542
NC(CO)(CO)CO,2.083273228840171
CC[Pb](CC)(CC)CC,4.032683215359877
Cc1ccccc1OP(=O)(Oc1ccccc1C)Oc1ccccc1C,3.566283075120315
CC(C)CO,1.2959217205915556
ClC=C(Cl)Cl,1.2534550325973015
CC[N+](=O)[O-],2.1764790556028357
CC(C)[N+](=O)[O-],2.2508784532964605
O=S(=O)(c1ccc(O)cc1)c1ccc(O)cc1,1.7263196121107751
