curated_smiles,rabbit_subcutaneous_LD50
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,3.151665204895132
CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,3.6299258239535246
CCN(CC)CCOC(=O)c1ccc(N)cc1,2.5365345521160862
CN(CCCl)CCCl,4.716159216242585
COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,3.589860849729665
NNC(=O)c1ccncc1,3.006836710181311
C1CCc2nnnn2CC1,3.259612737885969
CC(C)OP(=O)(F)OC(C)C,5.265164648012769
CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,3.987167045836236
CCCCCCCCCCCCCCCC[N+](C)(C)C,3.357251629425872
CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,4.962766980576699
C[N+]1(CCCl)CC1,5.081358111015086
COc1cc2c3cc1Oc1cc(ccc1O)CC1c4c(cc(OC)c(O)c4Oc4ccc(cc4)CC3N(C)CC2)CC[N+]1(C)C,6.08617681887062
NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(O)C(O)C1O,2.208175215788715
CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1,4.626725982031395
CCOc1ccc(NC(C)=O)cc1,2.2533840497331488
O=C(O)CF,5.443622070723012
CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,3.7269618113363223
C#N,4.033841763757086
CCOP(=O)(C#N)N(C)C,5.63582943628499
CCOP(=O)(OCC)SCCN(CC)CC,6.33340212970777
CCN(CC)C(=O)c1ccccc1C(=O)N(CC)CC,3.964385357774452
O=C(O)C(O)C(O)C(=O)O,2.123261739723779
CN1C(CC(=O)c2ccccc2)CCCC1CC(O)c1ccccc1,3.984158118663558
CC(OP(C)(=O)F)C(C)(C)C,6.959458782532849
O=Cc1ccccc1,1.3268436066047715
CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1,3.479827148095588
OCCCl,2.9058714032759627
CC(O)CC(C)(C)O,0.958585933664048
CC(C)OP(C)(=O)F,6.669298280832415
CCOP(=O)(OCC)OP(=O)(OCC)OCC,5.161650950239791
COCC(C)O,1.2558608167464644
c1ccsc1,2.005939899738219
CN(C)CCN(C)C,1.9753309153779215
CCOCCO,1.6538008254185022
CCCCOCCOCCSC#N,3.3081523319535178
COC(=O)C(c1ccccc1)C1CCCCN1,3.137486293740733
CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,5.649910939095978
CN(C)P(=O)(F)N(C)C,4.409721839220144
O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,3.053216140403733
CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,3.0718346845059608
CCCCCCCCCCCCCCCC[n+]1ccccc1,3.0065259408055502
CCCCCC(C)N,2.9475845185836707
CCC(C)C(=O)OC1C(O)C2C(CN3CC(C)CCC3C2(C)O)C2CC34OC5(O)C(OC(=O)C(C)(O)C(C)O)CCC3(C)C5C(OC(C)=O)C(OC(C)=O)C4C21O,6.678007679771216
CCC1(CC)C(=O)NCC(C)C1=O,2.564076348926925
CCCCNc1ccc(C(=O)OCCN(C)C)cc1,4.2461192692229215
CCCNCCC,1.908240458324591
CCC(C)C(=O)OC1C(O)C2C(CN3CC(C)CCC3C2(C)O)C2CC34OC5(O)C(OC(=O)C(C)(O)CC)CCC3(C)C5C(OC(C)=O)C(OC(C)=O)C4C21O,6.501852050363881
CCN(CC)C(=S)S,2.4750432589544946
N#C[K],4.2116277231686166
CC(N)C(O)c1ccccc1,2.7730374608239097
CN(C)CCN(Cc1ccccc1)c1ccccn1,3.8886474332825305
CNCC(O)c1cccc(O)c1,3.880834371423969
CNC(C)Cc1ccccc1,2.862122649103032
CC(N)Cc1ccccc1,4.089616127632414
CC[N+](C)(C)CCN(C)CC[N+](C)(C)CC,3.160295919539071
CCOP(=O)(OCC)Oc1ccc([N+](=O)[O-])cc1,6.077915859205229
CNCC(O)c1ccc(O)c(O)c1,4.6608820719083175
CP(=O)(F)OC1CCCCC1,6.2556559625602
C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O,3.053257761112022
CCN(CC)CCN1c2ccccc2Sc2ccccc21,3.298787599944235
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,4.736470649183974
COC(=O)CF,5.486992171403035
O=c1cccc2n1CC1CNCC2C1,4.5803455299833855
COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(Cl)c1,4.075774632593791
ClCCSCCCl,3.900588316679612
Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1,2.519717489788124
O=C(O)c1ccccc1,1.7857674687101257
CC(CNC1CCCCC1)OC(=O)c1ccccc1,3.2024035816980687
CC1CCCCN1CCCOC(=O)c1ccccc1,2.7747829095036454
ClC=C[As](Cl)Cl,5.015609109695826
CC1C(=O)CC2(C(C)C)CC12,5.62381164657263
CCN(CC)CCOC(=O)c1ccc(N)c2ccccc12,3.7245413423744855
CN(C)CC(O)c1ccc(O)c(O)c1,3.897041773837814
ClCCN(CCCl)CCCl,5.009722775912059
