curated_smiles,rabbit_subcutaneous_LDLo
C=O,2.097286238551509
CCOC(=O)C1(c2ccccc2)CCN(C)CC1,3.0922608490535874
CCN(CC)CCOC(=O)C(c1ccccc1)c1ccccc1,3.016232218400821
Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1,3.1482308160877053
CCN(CC)CCOC(=O)c1ccc(N)cc1,3.0117634531580437
O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,3.725479678264444
NCCc1cnc[nH]1,3.966720406351501
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,2.762491004026009
CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,2.896289164699955
COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,3.782985448084127
O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],2.7541284567078126
ClC(Cl)(Cl)Cl,1.7099000223990226
CC12C(=O)OC(=O)C1(C)C1CCC2O1,5.292703430080304
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,3.136058318493117
NC(N)=O,1.3014351481386666
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,3.189843893739444
CNC1C(OC2C(OC3C(O)C(O)C(NC(=N)N)C(O)C3NC(=N)N)OC(C)C2(O)C=O)OC(CO)C(O)C1O,2.9864582127373063
CN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3,4.728074444912989
Cn1c(=O)c2c(ncn2C)n(C)c1=O,2.848903113579281
Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,2.9662337464703032
COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,3.1327603128035446
CCN(CC)C(=O)c1cccnc1,2.773871735746216
ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,3.404734535689596
Cc1cc(=O)n(-c2ccccc2)n1C,2.274688842237558
CC(C)CC(N)C(=O)O,1.6995497815506309
NCCc1ccccc1,2.6063204449453745
CCO,0.3623787896471879
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,3.2187176896157395
O=C(O)CI,3.491240261197419
COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,4.902484810473885
CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC,5.407244698550375
O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,5.92223095256086
C[N+](C)(C)CCO,2.017755171262249
ClC(Cl)Cl,2.1738343116695944
ClC(Cl)(Cl)C(Cl)(Cl)Cl,1.772211651948017
Cc1c(N(C)CS(=O)(=O)O)c(=O)n(-c2ccccc2)n1C,2.016145748340489
O=C(O)c1ccccc1O,1.3621116079027735
CCCO,1.3017243115303356
CC(Cl)(Cl)Cl,2.42620210284358
CC#N,2.5921556001648054
CC=O,1.5647942430700592
ClCCl,1.4977127003288777
BrC(Br)Br,2.789874659055388
C=C(Cl)Cl,1.4183192110854594
IC(I)I,2.8962296055238634
CN(C)C,1.8685856665587652
C[N+](C)(C)C,4.091942333708973
ClC(Cl)C(Cl)(Cl)Cl,2.4608871087019515
CCC1(C(C)C)C(=O)NC(=O)NC1=O,2.996121858059303
COS(=O)(=O)OC,3.3765528556950968
