curated_smiles,rat_intramuscular_LD50
CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,3.146664931587355
C1CN1c1nc(N2CC2)nc(N2CC2)n1,5.134043163515019
O=c1[nH]cc(F)c(=O)[nH]1,2.733992609142621
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,2.4976731810164727
CN(CCCl)CCCl,5.151887785804022
CC(C)=CCCC(C)=CCCC(C)=CCCC(=O)OCC=C(C)CCC=C(C)C,1.4724281266456356
CCOC(N)=O,1.803720421954241
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,2.814073870178225
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,4.133676091120266
NNC(=O)c1ccncc1,2.5351104873483545
CC(C)OP(=O)(F)OC(C)C,5.009892142909464
NCCSSCCN,3.2003944500790946
CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,4.686137050172255
ON=Cc1cc[n+](CCC[n+]2ccc(C=NO)cc2)cc1,3.3669693255721698
CCN(CC)CCOC(=O)C(O)(c1ccccc1)c1ccccc1,3.384776741295497
CC(O)CO,0.7352280856948473
Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,2.832694838100086
NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(O)C(O)C1O,2.3812474973457376
OCC(S)CS,3.1547072326034216
CC(CN1c2ccccc2Sc2ccccc21)N(C)C,3.22608564288332
CNC(=O)Oc1cccc(C(C)C)c1,4.139982477541328
O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,5.378162908210585
CC[N+](CC)(CC)CC,3.0734017180665547
Cc1c(N(C)CS(=O)(=O)O)c(=O)n(-c2ccccc2)n1C,2.282413637745259
CCOP(=O)(C#N)N(C)C,5.306770717020765
CCCCOC(=O)c1ccccc1C(=O)OCCCC,1.5414981181477467
CC1(C)SC2C(NC(=O)COc3ccccc3)C(=O)N2C1C(=O)O,2.391557047586549
O=[N+]([O-])OC1COC2C(O[N+](=O)[O-])COC12,2.072132206618071
OCC(O)C(O)C(O)CO,1.0061692799535682
O=C(O)C(O)c1ccccc1,2.70514784758143
COc1ccccc1OCC(O)CO,1.6950830985070782
C[n+]1ccccc1C=NO,2.887773187330648
CC(OP(C)(=O)F)C(C)(C)C,6.468097088698576
NCCN,2.602783212947058
CC(C)OP(C)(=O)F,6.112995780065127
CCOP(=O)(OCC)OP(=O)(OCC)OCC,5.2074084408004655
CCCCCCCCC=CCCCCCCCC(=O)OCCOC,1.629088347071657
NCCNCCO,1.7166417881222464
OCCNCCO,1.8456643215586837
CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,2.223232376902968
CNC(=O)Oc1ccccc1OC(C)C,3.596379219533548
ON=Cc1cc[n+](COC[n+]2ccc(C=NO)cc2)cc1,3.2234991753898345
CCNC(=O)CSP(=S)(OC)OC,2.9881842497282736
CCCCN(CCN(CCCC)C(=O)N1CCOCC1)C(=O)N1CCOCC1,3.5141208034131077
CN1CCCN=C1COC(=O)C(O)(c1ccccc1)C1CCCCC1,2.5159431941455304
CN1CCC(OC(c2ccccc2)c2ccccc2)CC1,3.194050044657633
NCCO,1.542889419793833
C1CNCCN1,1.5372547751807402
Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,1.7841346527107187
CC(CCC(=O)O)C1CCC2C3C(=O)CC4CC(=O)CCC4(C)C3CC(=O)C12C,2.428708073127733
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)COP(=O)(O)O,2.5634259340873617
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,3.985542081991519
O=NN(CCCl)C(=O)NCCCl,3.4296062222925325
CN(C)C(=O)Oc1ccc[n+](C)c1,4.812589940109177
CCOP(=O)(OCC)Oc1ccc([N+](=O)[O-])cc1,5.79030883651068
CNCC(O)c1ccc(O)c(O)c1,1.7188740188860048
CP(=O)(F)OC1CCCCC1,6.352565975568255
ClCCNCCCl,2.948257046615076
CC(C)=CCN1CCC2(C)c3cc(O)ccc3CC1C2C,3.212463090371986
COC(=O)CF,4.566173417450661
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)COS(=O)(=O)O,3.072370313977236
CC(C)=CCC1C(=O)C(=C(O)CC(C)C)C(=O)C(CC=C(C)C)(CC=C(C)C)C1=O,3.099100692599192
CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,2.894958166345988
COC(CNC(=O)c1ccccc1OCC(=O)O)C[Hg]O,4.30451745491997
CN(C)CCC(O)(c1ccccc1)c1ccccc1Cl,3.033972578617467
CCC(C(=O)O)C1(O)CCCCC1,2.2700986131965237
COc1cc(C2c3cc4c(cc3C(O)C3COC(=O)C23)OCO4)cc(OC)c1OC,5.140308971970264
COc1ccc(-c2cc(=S)ss2)cc1,3.836819446155188
Cc1ccc(C(C)O)cc1,2.134157975239844
CCCCCC(O)C=CC1C(O)CC(O)C1CC=CCCCC(=O)O,3.500382290384059
CC1=CCC(O)(C(C)C)CC1,2.0121423601376107
N#CO,2.142359185165325
CC(C[N+](C)(C)C)OC(N)=O,2.865009704787173
COP(=O)(OC)N1CCOCC1,1.574376339036488
CCOP(=O)(Oc1ccc([N+](=O)[O-])cc1)SCC,4.464288300555898
COc1c(OC2OC(CO)C(O)C(O)C2O)cc2c(c1OC)-c1ccc(SC)c(=O)cc1C(NC(C)=O)CC2,4.311657554484364
c1ccc(P(c2ccccc2)c2ccccc2)cc1,2.2426937855993336
CNC(=O)Oc1cc(C)c(C)cc1Cl,3.9495201128417823
OCCSCCCl,5.44912341318456
O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1,3.3718130474621955
CN(C)C1C(=O)C(C(=O)NCN2CCCC2)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12,3.2451621297006024
COc1cc(CCN)cc(OC)c1OC,2.806305391305629
O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,3.7358734943872447
CNCCC=C1c2ccccc2CCc2ccccc21,3.190140467612086
COP(=O)(OC)Oc1ccc([N+](=O)[O-])cc1,5.165061609538064
