curated_smiles,rat_intraperitoneal_LDLo
CCC1(c2ccccc2)NC(=O)N(C)C1=O,2.907602427421708
CC(C)NCC(O)c1ccc(O)c(O)c1,3.324819331183516
CCCc1cc(=O)[nH]c(=S)[nH]1,2.6289939660038284
CC(=O)Nc1ccc2c(c1)Cc1ccccc1-2,3.0478101023744437
CCCC[Sn](CCCC)(CCCC)OC(C)=O,4.542953580919156
O=[N+]([O-])c1cc[n+]([O-])c2ccccc12,3.6770546096937418
C=CCN=C=S,3.093237771546322
CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12,3.155186426916908
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,2.946824335609888
CN(C)CCCN1c2ccccc2Sc2ccccc21,2.9789325839371035
NC(=O)N/N=C/c1ccc([N+](=O)[O-])o1,3.1208765158653726
CC(CN1c2ccccc2Sc2ccccc21)N(C)C,3.307844311818755
CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1,4.6907920345060505
CC(=O)OC(C)C[N+](C)(C)C,3.4644001158898643
CC(N)=S,2.097696820511839
NCCc1ccccc1,3.083441699665037
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,3.275457246836364
O=C(O)CI,3.7922702568614
COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,5.455326779131665
CC(C)=O,2.0650566033560183
ClC(Cl)(Cl)C(Cl)(Cl)Cl,1.9118736453770235
Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,2.749096493265538
Cc1cc(-c2ccc(N=Nc3c(S(=O)(=O)O)cc4cc(S(=O)(=O)O)cc(N)c4c3O)c(C)c2)ccc1N=Nc1c(S(=O)(=O)O)cc2cc(S(=O)(=O)O)cc(N)c2c1O,3.463840253579132
CC=O,1.945005484781665
CC(C)N,3.07270564921469
C[N+](=O)[O-],1.6095232658911427
CCC(C)(C)O,1.7605308858177418
CCC1(C(C)C)C(=O)NC(=O)NC1=O,3.255759168565059
O[Sn](c1ccccc1)(c1ccccc1)c1ccccc1,3.564708663256392
CCC1CC2CN3CCc4c([nH]c5cc(OC)c(OC)cc45)C(C(=O)OC)(C2)C13,3.822280344805304
C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,3.322700887681892
CCCCCCCCCCCC(=O)O[Sn](CCCC)(CCCC)OC(=O)CCCCCCCCCCC,3.8710032544738886
C=CC(C)=O,3.669570997123951
CC[N+](=O)[O-],1.6713290772829292
CC(C)[N+](=O)[O-],1.908455772474254
CC1=C(O)C(=O)CC1,2.35074407147993
C1C2OC2C2C1C1CC2C2OC12,4.173991047142668
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,2.865770718113668
O=C(O)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,3.272828291905497
CCC1CC2CC3c4[nH]c5ccc(OC)cc5c4CCN(C2)C13,3.087145357106292
CN1C2CCC1CC(OC(=O)C(O)c1ccccc1)C2,3.1846094212120217
CN(C)Cc1c[nH]c2ccccc12,2.843225300940698
O=[N+]([O-])c1ccc(O)cc1C(F)(F)F,3.7141347865128447
Nc1ccccc1[N+](=O)[O-],2.237185448239304
Oc1ccccc1[Hg]Cl,4.1194512118631454
O=C(O)c1cc2ccccc2cc1O,3.274578079906685
c1ccc2scnc2c1,2.130947780507699
Nc1ccccc1O,2.560814941197052
Cc1ccc(C)c(C)c1,1.8363522999646544
Cc1cc(O)ccc1O,2.7928782469462865
CC1OC1C1CCC2(C)OC2C1,2.623858942633593
CCC(=O)CC,1.8382646029947176
OC(CCl)CCl,3.265444534992746
OCC(O)CCl,4.043519460245756
Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],2.8648028858523205
Cc1cc(N=C2C=CC(=[N+](C)C)C=C2)c(N)cc1N,3.2609993225240133
C=CCc1ccc(O)c(OC)c1,2.3122937453089487
CCOC(=O)C(C)O,2.0723675567241
O=C(O)c1cc(O)[nH]c(=O)c1,2.2875470109308664
Nc1ccc([N+](=O)[O-])cc1,2.362124184847604
Cl[Hg]c1ccccc1,3.796781024841415
COc1ccccc1,2.335016360903587
CNC(C)CC1CCCCC1,3.378216149749877
O=C=Nc1ccc(Cl)c(Cl)c1,3.274187879226829
S=C=Nc1ccccc1,2.954856521452017
O=C=Nc1ccc(Cl)cc1,3.390420710908252
CC=Cc1ccc(OC)cc1,3.325764815692342
OCC1CCC(CO)CC1,2.255917435857584
O=C1CCCCCN1,2.1506029517930094
CCCN,3.19764438582299
C=CCN,3.1825744160211533
O=CC=O,2.763697472032552
CC(O)CC(C)(C)O,1.8964380269152037
C[Si](C)(C)O[Si](C)(C)C,1.949272342825152
CCC[N+](=O)[O-],2.209485768138235
Nc1nc(N)nc(N)n1,1.5956443141393275
COCOC,1.1823861170370664
CC(=O)CCC(C)C,2.455560475037095
O=C(O)C=CC(=O)O,1.8859711899603744
COCCOC(C)=O,1.9931863106764751
CCCCCC,0.9763550185377444
CCCCCCCN,3.1864666074988075
CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,5.427194467948396
CC[Si](Cl)(Cl)Cl,3.736415095526168
C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O,3.475690554424716
O=Cc1ccc2c(c1)OCO2,2.0003849038251307
COB(OC)OC,1.812554079946012
CCN(CC)CC,3.130089207940947
NC(=O)Nc1ccc([As](=O)(O)O)cc1,2.415108626334452
O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])C1,4.346581799087201
CC(C)CCO,2.035131771041273
CC(=O)C=C(C)O,2.39844783619466
CC1OC(C)OC(C)O1,1.7988774491034276
CS(=O)(=O)Cl,4.360036462968402
Nc1ccc([As](=O)(O)O)cc1,2.7345118040569654
O=C1C=CC(=O)c2ccccc21,3.500115668156399
CN1CCc2cc3c(cc2C(=O)Cc2ccc4c(c2C1)OCO4)OCO3,3.5482345925054384
O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)Cl,4.080040298939805
O=NN(O)c1ccccc1,3.4413054308952287
Nc1ccc(N=Nc2ccccc2)c(N)n1,3.027846824698205
Nc1cc([AsH]=[AsH]c2ccc(O)c(N)c2)ccc1O,3.5167477947764847
N#CCc1ccccc1,3.1937889798766705
O=c1cc[nH]c(=S)[nH]1,1.9316476847138373
CCCNCCC,3.130089207940947
Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,2.421106001428796
Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1,2.347495545467825
CC(N)C(O)c1ccccc1,3.4014263908742213
CN(C)CCN(Cc1ccccc1)c1ccccn1,3.838959649093423
CNC(C)Cc1ccccc1,3.66872653183888
CC(N)Cc1ccccc1,3.799629896949853
CCN1CC2(COC)C(O)CC(OC)C34C5CC6(O)C(OC)C(O)C(OC(C)=O)(C5C6OC(=O)c5ccccc5)C(C(OC)C23)C14,6.6735610886341465
C=C(O)/C=N\O,2.9399084456453703
NCCCNCCCCNCCCN,3.74979212285974
C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,3.3357076644384653
CC1C(=O)OC2CCN3CC=C(COC(=O)C(C)(O)C1(C)O)C23,3.398422141899795
CNCC(O)c1ccc(O)c(O)c1,4.26294206323628
O=C(O)C=Cc1ccc(O)c(O)c1,2.079564703504518
NC1CONC1=O,2.008995965734396
S=C1SCN(Cc2ccccc2)CN1Cc1ccccc1,2.798621645481444
N#CN,2.32264304207559
Nc1cc([As]=[As]c2ccc(O)c(NCOSO)c2)ccc1O,3.948585084434848
NC(=O)NCC(=O)O,2.373250473518515
CC12CCC(CC1=O)C2(C)C,2.031669196029488
COc1cc2c(c(O)c1OC)C1Cc3ccc(OC)c(OC)c3CN1CC2,2.870910481716188
COc1cc2c3cc1Oc1c(OC)c(OC)cc4c1C(Cc1ccc(O)c(c1)Oc1ccc(cc1)CC3N(C)CC2)N(C)CC4,3.085458268453424
Nc1ccc(C=C2C=Cc3ccccc32)cc1,3.244102873135438
c1cncc(C2CCCN2)c1,3.79980671472959
COP(=O)(OC)OC,2.243270644147662
NC(N)=NOCCC(N)C(=O)O,1.4008487052792116
