curated_smiles,women_oral_TDLo
CCC1(c2ccccc2)NC(=O)N(C)C1=O,2.29757350642247
CN(C)CCCN1c2ccccc2CCc2ccccc21,3.615031056663103
CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,3.323689308570815
CC(=O)Oc1ccccc1C(=O)O,2.352565975568256
NNCCc1ccccc1,3.878898225121469
CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,2.072380423755636
OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,5.576159876272192
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,3.0304597240930797
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,4.553631839610025
NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,4.72361852245382
O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,3.9966557563824128
COP(=S)(OC)Oc1ccc(SC)c(C)c1,2.7244085179159563
O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],7.453098461043831
ClC(Cl)(Cl)Cl,1.931748772015379
CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,4.710705241662992
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,3.641881254914249
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,3.703177321113551
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,3.1008407761437824
CCCC(C)(COC(N)=O)COC(N)=O,3.009111374907332
CNCCCN1c2ccccc2CCc2ccccc21,3.713482394534402
OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,4.158910184874602
C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,4.879584687598428
COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,3.05357906675592
NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,5.925389470651147
Cc1cccc(Nc2ccccc2C(=O)O)c1C,2.7293268096468606
COc1ccc(CN(CCN(C)C)c2ncccn2)cc1,5.15591117258601
CCC1(C)CC(=O)NC(=O)C1,3.1908833219734696
COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,5.802706967945551
CO,0.9036596247563792
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,3.851587367426288
O=C1CCCN1CC#CCN1CCCC1,7.314476070597157
Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,2.8313439106793346
CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,6.344042425941886
CCN(CC)CC(=O)Nc1c(C)cccc1C,3.7787873783237456
CC#N,1.9143748948987247
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,3.5764872425003453
CCC1(c2ccccc2)CCC(=O)NC1=O,2.8598745118824933
C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,2.748691826488453
Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,4.0437736946605245
CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1,3.2912118137604742
O=[N+]([O-])OC1COC2C(O[N+](=O)[O-])COC12,6.373162202282052
Nc1ccc(O)c(C(=O)O)c1,4.281990147889473
CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,3.6639285327641335
CCC(Cc1c(I)cc(I)c(N)c1I)C(=O)O,3.978434656299176
O=[N+]([O-])c1ccccc1,2.789266863326399
NC(=O)c1cnccn1,4.090310969424921
CCCCOCCO,2.294378035587241
C#CC(O)(C=CCl)CC,4.16017129636778
COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1,2.5397627701860817
CCC1(CC)C(=O)NCC(C)C1=O,2.4848951028793
Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,3.4400348932745306
Nc1ccc(N=Nc2ccccc2)c(N)n1,3.490073344001939
O=CO,1.3205711163538458
